Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1243,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",진짜 일을 어찌하시는지 중소기업에 들어간 청년들 학자금 대출을 갚아주거나 열심히 일하는 어려운 청년들 도와주는데 쓰이면 세금이 아깝지 않지만 꼭 소득 여기 저기 나눠 숨기고 꽁으로 받고 자랑질 하며 노는 청년들도 있으니 불공평하게 받아드리게 되더라구요 저도 학자금 년만에 다갚았어요 스스로 돈에 무서움도 돈의 어려움도 깨쳐야 살아집니다 누가 자꾸 해결해주기 시작하면 기대고 싶고 하기 싫고 당연시하게 되는것이 인간의 심리에요 그만 세금 좀 뿌리시길 늘 경제 위기는 왔었고 그걸 스스로 극복하며 살아왔던것이 삶입니다,영아수당 지급
2010,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",저 기준에 해당하는 사람이 실제 어느정도인지 공개하는 게 어떨까 합니다 이미 수치가 나와있을텐데요,영아수당 지급
1168,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",애를 낳으면 지원하겠다는데 왜 난리임그럼 예산 늘려놓고 자기들끼리 더 나누어 쓰겠다는 것,영아수당 지급
1960,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",좋겠다 부럽다 애들 많이 낳아라 출산율 올리려면 국가가 나서 팍팍 지원해야한다,영아수당 지급
1321,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",청년만 사람이야,영아수당 지급
101,10,0.0869,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",문재인이 퍼주다 나라빚으로 거덜나겠다지방자치단체 지원금줄이고 자체조달방법 중앙정부에서 통제해서 세금관리하는것 좋아요,영아수당 지급
1874,10,0.0864,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",자식들이 주야지 이걸 왜 서울시가 주는건지 이해불가 제발 선심쓰듯 행하는 정책엔 분인돈을 쓰길,영아수당 지급
451,10,0.0862,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",육아를 부모에게만 맡기지 말고 국가가 부담을 져야 합니다 육아 예산을 전폭적으로 확충하도록 국민들이 촉구합시다,영아수당 지급
907,10,0.0859,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",죽어 버리지 대통령,영아수당 지급
159,10,0.0853,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",두 어린 자녀를 둔 대 초반인 나는 이번에도 혜택은 커녕 세금만 계속 내라는거군,영아수당 지급
236,10,0.0853,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",국가에 돈은있냐 누가 더 세금 내라고 저러면 애기 낳겠냐,영아수당 지급
415,10,0.0838,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",초중고 둔 가정도 아이사랑카드처럼  교육비 결재할 수 있는 카드 좀 만들어줘요ㅜㅜ 죽어라 직장 다니고 세금을 내는데 나는 왜 혜택을 못 받는가 ㅜㅜ 누구를 위한 나라인가  아이를 낳을 수 있는 젊은 부부만 대한민국 국민인가 초중고 학생을 둔 대는 대한민국의 국민이 아닌가 대한민국 국민이 아닌데 왜 세금은 걷어 가는가국민이 있어야 나라가 있는 거 아닌가  왜 공평이라는 단어를 두고도 사용을 못하는가 함께 잘 사는 나라에서 살고싶은 게 잘 못인가 대도 대한민국의 국민이다,영아수당 지급
1567,10,0.0838,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",고만좀해라 나라 망하겠다,영아수당 지급
1487,10,0.0833,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",아따 마 용돈 올려줘뿌네 크 배가 등가죽에 들러 붙어야 먹여주고 재워만 주면 머든 열심히 한다고 집구석에서 기어 나올텐데 말여,영아수당 지급
467,10,0.0819,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",우리집은 난임으로 애가 없는데 평생을 지원금도 못받아보고 돈벌어 세금 내서 남 좋은일 시키다 가긌네 부럽다,영아수당 지급
1317,10,0.0819,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",결국 세금으로 돌리고 돌린다는 소리자나 좋게 얘기해서 지원이지 우리 국민들끼리 돌리고 돌린다는 소리같은데 ㅋㅋ퍼주는 지원으로 생색내고 세금 더 올리겟지 하아 답답하다진짜,영아수당 지급
325,10,0.0812,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",세금 퍼는 재벌한테 나온대 걱정마세쇼 노예님덜,영아수당 지급
1672,10,0.0812,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",또 퍼주기냐다음세대에게 빚만 남겨주고 가려나아지구가 멸망하는데 아껴서똥될까봐 퍼주는구나 잘됬네,영아수당 지급
1809,10,0.0802,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",역대급 막장이네아이돌보는게 왜 세금 투입됨,영아수당 지급
1508,10,0.0794,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",일 안하는게 뭐 잘난 일이라고 돈을 주냐,영아수당 지급
1497,10,0.0791,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",저러니 알바구하기가 힘들다고하죠놀아도 돈주는데,영아수당 지급
1811,10,0.0776,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",만원주면 누가 박일만 한달에 한번 애 봐줬음 진짜 좋겠다 애 키우는게 신경쓸것 많고 정말 고역이다 좀 되지도  않는 돈 말고 부모에게도 자유시간을 한달에 한번이라도 줬음 한다 솔직히 애있음 빨간날도 출근하고 싶을 정도다 ㅋㅋ,영아수당 지급
5,10,0.0774,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",국가에서 키워서나눠주자 지자식을왜국가에서 세금퍼주는건데,영아수당 지급
1885,10,0.0758,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",조부모들이 어떻게 내몰릴지 생각이나 해봤냐 안봐주면 노년의 부모들이 욕먹어야 하는 상황을 나라에서 만들어주는거야 거기다 부모들도 조부모가 안봐주면 억울하고 섭섭해 할 수 밖에 없는 가정파괴 정책이다 당장 철회하라,영아수당 지급
962,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",하위직공무원 봉급은 통닭 한마리 값도 안올려주며서 군인 봉급을 만원씩 올려준다 완전히 미쳤구나,영아수당 지급
1928,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",서울은 다 퍼주네,영아수당 지급
756,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",출산장려 정책은 당장 시행해도 나쁘지않다,영아수당 지급
1812,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",퍼주기 끝판왕 ㄷㄷ 국민세금을 물쓰듯이,영아수당 지급
1837,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",서울시는 출산축하선물도 아예없고 출산지원금도 작아서 출산한날 하루 병원비로 보탤정도밖에안되요,영아수당 지급
421,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",진짜 뭐갔다,영아수당 지급
317,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",미친거 아냐세금 완전 퍼다나르네,영아수당 지급
1614,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",니돈이냐고정책이라는게 기준도 없이 막 싸지르는 거냐고 ,영아수당 지급
282,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",낸 세금이 아깝네,영아수당 지급
245,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",세금 줄줄,영아수당 지급
1153,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",한국일보정진석이 니네 기자 였지그런 썩어빠진 녀석이 여당대표를 하니  현재가 조선말기처럼 썩어 빠졌다는 생각은 안 드는지 물어보세요 하여튼 모지리들,영아수당 지급
127,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",세금와,영아수당 지급
2019,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",뭐 하는 짓이지,영아수당 지급
370,10,0.0741,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",중고등 지원좀 하지 주구장창 어린애들만,영아수당 지급
1601,10,0.0734,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",그돈으로 어린이집 직원수를 늘려라 부모님들도 나이들어 힘들어 죽겠는데 고작만원 그냥 생색내는거지,영아수당 지급
1936,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이거 증빙 어떻게 하냐 그냥 보육지원금을 높이면 되는거아냐,영아수당 지급
1940,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",저출산 문제를 근본적으로 해결해야지 이상한 정책으로 시선돌리냐,영아수당 지급
1777,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이런 선심성 핀셋 정책하는 오세훈 선거나옴 다시는 안뽑는다 정치하지 말고 서울시장답게 정책다운 정책을 나오길 기대하지만 틀린듯,영아수당 지급
309,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",돈좀 그만뿌려ㅜㅜ 세금처뜯어가지말고ㅠㅠ,영아수당 지급
854,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이 간신,영아수당 지급
860,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",아이 낳는다고 만원씩 주면 년이면 만원이니 적지 아니 도움이 되겠네요 하지만 애가 하나 더 생겼으니 열심히 일해서라도 방 한칸 더 있는 집으로 이사를 가려면 최소 억이 지금보다 더 필요하겠네요 이러니 애 안낳고 지금 있는 작은 월세집에 살면서 내가 버는 월급 전부 내 인생에 쓰는게 이득 아니겠어요  애 하나낳으면 대출 잔뜩 끼고 살고 그거 갚으면서 년 사는 인생에 진입해야하는데,영아수당 지급
